DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\Backend\Backend\settings.py first seen with mtime 1731993419.390581
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1731656690.3433516
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1731656696.9361608
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1731656709.234677
DEBUG 2024-11-19 11:02:14,740 autoreload File C:\Program Files\Python312\Lib\urllib\__init__.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1731656708.693572
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\psycopg2\__init__.py first seen with mtime 1731660458.5311453
DEBUG 2024-11-19 11:02:14,740 autoreload File C:\Program Files\Python312\Lib\_compression.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1731656709.6118784
DEBUG 2024-11-19 11:02:14,741 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1731656698.1401093
DEBUG 2024-11-19 11:02:14,741 autoreload File E:\BackendResearch\.venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1731656746.5670125
DEBUG 2024-11-19 11:02:14,741 autoreload File C:\Program Files\Python312\Lib\email\mime\base.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,741 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1731656708.7045646
